21.8848 	EXP 	slider_2: autoDraw = True
21.9015 	EXP 	slider_2: autoDraw = True
21.9192 	EXP 	slider_2: autoDraw = True
21.9364 	EXP 	slider_2: autoDraw = True
21.9528 	EXP 	slider_2: autoDraw = True
21.9694 	EXP 	slider_2: autoDraw = True
21.9858 	EXP 	slider_2: autoDraw = True
22.0020 	EXP 	slider_2: autoDraw = True
22.0197 	EXP 	slider_2: autoDraw = True
22.0364 	EXP 	slider_2: autoDraw = True
22.0540 	EXP 	slider_2: autoDraw = True
22.0694 	EXP 	slider_2: autoDraw = True
22.0866 	EXP 	slider_2: autoDraw = True
22.1026 	EXP 	slider_2: autoDraw = True
22.1187 	EXP 	slider_2: autoDraw = True
22.1367 	EXP 	slider_2: autoDraw = True
22.1645 	EXP 	slider_2: autoDraw = True
22.1894 	EXP 	slider_2: autoDraw = True
22.2045 	EXP 	slider_2: autoDraw = True
22.2199 	EXP 	slider_2: autoDraw = True
22.2368 	EXP 	slider_2: autoDraw = True
22.2492 	EXP 	slider_2: autoDraw = True
22.2622 	EXP 	slider_2: autoDraw = True
22.2747 	EXP 	slider_2: autoDraw = True
22.2868 	EXP 	slider_2: autoDraw = True
22.3198 	EXP 	slider_2: autoDraw = True
22.3342 	EXP 	slider_2: autoDraw = True
22.3465 	EXP 	slider_2: autoDraw = True
22.3594 	EXP 	slider_2: autoDraw = True
22.3729 	EXP 	slider_2: autoDraw = True
22.3868 	EXP 	slider_2: autoDraw = True
22.4035 	EXP 	slider_2: autoDraw = True
22.4199 	EXP 	slider_2: autoDraw = True
22.4368 	EXP 	slider_2: autoDraw = True
22.4667 	EXP 	slider_2: autoDraw = True
22.4830 	EXP 	slider_2: autoDraw = True
22.4952 	EXP 	slider_2: autoDraw = True
22.5088 	EXP 	slider_2: autoDraw = True
22.5200 	EXP 	slider_2: autoDraw = True
22.5374 	EXP 	slider_2: autoDraw = True
22.5535 	EXP 	slider_2: autoDraw = True
22.5702 	EXP 	slider_2: autoDraw = True
22.5868 	EXP 	slider_2: autoDraw = True
22.6039 	EXP 	slider_2: autoDraw = True
22.6204 	EXP 	slider_2: autoDraw = True
22.6362 	EXP 	slider_2: autoDraw = True
22.6537 	EXP 	slider_2: autoDraw = True
22.6710 	EXP 	slider_2: autoDraw = True
22.6879 	EXP 	slider_2: autoDraw = True
22.7039 	EXP 	slider_2: autoDraw = True
22.7211 	EXP 	slider_2: autoDraw = True
22.7490 	EXP 	slider_2: autoDraw = True
22.7620 	EXP 	slider_2: autoDraw = True
22.7747 	EXP 	slider_2: autoDraw = True
22.7879 	EXP 	slider_2: autoDraw = True
22.8043 	EXP 	slider_2: autoDraw = True
